context,correct,wrong,difficulty
"___ຂາໄກ່ຄູວຽງ","ຈືນ","ທອດ","3"
"ຄິດຮອດແຟນໃນ _____","ອະນາຄົດ","ອານາຄົດ","3"
"ບໍ່ມີໃຜສາມາດກັບໄປແກ້ໄຂ___ໄດ້","ອະດີດ","ອາດີດ","2"
"ຄວນຂັບຂີ່___ລະມັດລະວັງ","ຢ່າງ","ຍ່າງ","1"
"___ຂອງການອອກແບບ","ຫຼັກການ","ລັກການ","1"
"ຄວາມຈຳ___","ເສື່ອມ","ເຊື່ອມ","3"
"___ ອິນເຕີເນັດບໍ່ໄດ້","ເຊື່ອມຕໍ່","ເສື່ອມຕໍ່","1"
"ມັກ___ຈົນເປັນນິດໄສ","ຂີ້ຕົວະ","ຂີ້ຕວັະ","3"
"___ ຖົງຢາງໃຫ້ແໜ້ນ","ມັດ","ໝັດ","2"
"ສອບຖາມຂໍ້ມູນ___ໄດ້ທີ່","ເພີ່ມເຕີມ","ເພີ້ມເຕີມ","1"
"ສອບຖາມຂໍ້ມູນ___ໄດ້ທີ່","ເພີ່ມຕື່ມ","ເພີ້ມຕື່ມ","1"
"___ນໍ້າມັນ","ປະຢັດ","ປະຫຍັດ","3"
"ເງິນໃບຫ້າ___ກີບ","ຮ້ອຍ","ລ້ອຍ","2"
"___ກຳມະການ","ຄະນະ","ຂະນະ","3"
"___ທີ່ກຳລັງກິນເຂົ້າຢູ່","ໃນຂະນະ","ໃນຄະນະ","3"
"ລາວເປັນຄົນຕະຫຼົກ ລາວມັກ___","ເວົ້າຢອກ","ເວົ້າແຊວ","3"
"ທີ່ຢູ່___","ອາໄສ","ອາໃສ","1"
"ໄລຍະທາງບໍ່ເຄີຍເປັນ ___","ອຸປະສັກ","ອຸບປະສັກ","1"
"ອະທິບາຍ___","ສັບ","ຊັບ","2"
"___ໃນພາສາລາວມີຈັກສຽງ?","ວັນນະຍຸດ","ວັນນະຢຸດ","2"
"ຢາກໄປຍ່າງເລາະ___ມືດ","ຕະຫຼາດ","ຕະລາດ","1"
"___ຊິໄປກິນເຂົ້າຢູ່ໃສ?","ຕອນສວາຍ","ຕອນສວຍ","2"
"___ສ້າງສັນ","ຄວາມຄິດ","ຄວາມຄຶດ","2"
"ຕ້ອງກຽມ___ສຳລັບໃຊ້ລະບາຍສີ","ອຸປະກອນ","ອຸບປະກອນ","1"
"___ເຮືອນໃຫ້ສະອາດ","ອະນາໄມ","ອານາໄມ","3"
"ທຸກຄົນເຫັນດີເປັນ ___","ເອກະພາບ","ເອກກະພາບ","2"
"ຝາກເຊັນ___ໃຫ້ແດ່ເດີ້","ເອກະສານ","ເອກກະສານ","2"
"ບໍລິສັດ___","ເອກະຊົນ","ເອກກະຊົນ","2"
"ຄວນ___ເຖິງສິ່ງທີ່ຈະຕາມມາ","ຄຳນຶງ","ຕະໜັກ","3"
"ກິນອາຫານໃຫ້ຄົບ___","ໝູ່","ໜູ່","1"
"ລາວເປັນຄົນ ___ ດີ","ຈິດໃຈ","ຈິດໄຈ","1"
"ແມງສາບມັກ___ຢູ່ບ່ອນທີ່ມືດ","ອາໄສ","ອາໃສ","1"
"ນ້ຳ___ແມ່ນນ້ຳທີ່ບໍ່ຂຸ່ນ","ໃສ","ໄສ","1"
"ນ້ຳ___ແມ່ນນ້ຳທີ່ບໍ່ໃສ","ຂຸ່ນ","ຄຸ່ນ","1"
"ລາວບໍ່ສະບາຍ ຍ້ອນອາຫານ___","ເປັນພິດ","ເປັນຜິດ","1"
"ລາວພິມ___ຫຼາຍໂຕໂພດ","ຜິດ","ພິດ","1"
"ລາວໄປ___ສະຖານທີ່","ກະກຽມ","ກະຕຽມ","3"
"ຜັກຕຳນິນມີ___ຕໍ່ຮ່າງກາຍ","ປະໂຫຍດ","ປະໂຢດ","2"
"ຈົ່ງແຕ່ງ___ດ້ວຍຄຳວ່າ 'ນອນ'","ປະໂຫຍກ","ປະໂຍກ","1"
"ເກມນີ້ມີ___ຜົນປະໂຫຍດສ່ວນລວມ","ເພື່ອ","ເຜື່ອ","1"
"ເສື້ອໂຕນີ້___","ງາມຫຼາຍ","ສວຍມາກ","3"
"ຍາມຮ້ອນ___ອອກຫຼາຍ","ເຫື່ອ","ເຮື່ອ","1"
"ເປົ້າໝາຍຫຼຸດຜ່ອນຄວາມ___","ທຸກຍາກ","ຖຸກຢາກ","1"
"ຮູບເງົາ___ນີ້ຕະຫຼົກກວ່າທີ່ຄິດ","ເລື່ອງ","ເລື້ອງ","3"
"___ເລກບໍ່ຖືກ","ລົບ","ຫຼົບ","1"
"ຜູ້ປ່ວຍ___ຈາກການປິ່ນປົວ","ຫຼົບໜີ","ລົບໜີ","2"
"ຫ້ອງນີ້ ___","ວ່າງເປົ່າ","ຫວ່າງເປົ່າ","3"
"ສັນຍາການຄ້າ ___ ປະເທດ","ລະຫວ່າງ","ລະວ່າງ","1"
"___ບໍ່? ຊິໂທຫາ ມີແນວຊິຈົ່ມສູ່ຟັງ","ວ່າງ","ຫວ່າງ","3"
"ບໍ່ຢາກເປັນຄົນ___ ງານ","ວ່າງ","ຫວ່າງ","3"
"ປີນີ້ມີຄົນ___ຮຽນຫຼາຍ","ສະໝັກ","ສະມັກ","1"
"___ນ້ຳລາຍຕົນເອງ","ສະມັກ","ສະໝັກ","1"
"ຢ່າລືມ___ນ້ຳຕົ້ນໄມ້","ຫົດ","ຮົດ","1"
"ຂ້ອຍຝັນຢາກເປັນ___","ລັດຖະມົນຕີ","ລັດທະມົນຕີ","1"
"___ຮ່ວມສະໄໝ","ວັດທະນະທຳ","ວັດທະນາທຳ","3"
"ເນື້ອຄູ່ຈະມາໃນເວລາທີ່___","ເໝາະສົມ","ເມາະສົມ","3"
"ຄົນລາວເປັນຄົນ___","ຈິງໃຈ","ຈຣິງໃຈ","1"
"___ຂອງເງິນ","ຄຸນຄ່າ","ຄຸນຂ່າ","1"
"ວິທີປູກ___","ຂ່າ","ຄ່າ","1"
"ເປັນການ___ທີ່ດີ","ເລີ່ມຕົ້ນ","ເລີ້ມຕົ້ນ","3"
"ໝາກມ່ວງ___","ເຫີ່ມ","ເຮີ່ມ","1"
"ສັດມີການ___ຕາມລະດູ","ປະສົມພັນ","ຜະສົມພັນ","2"
"ວິຊາຂຽນ___","ທວາຍ","ທວຍ","3"
"ເກມ___ຄຳສັບ","ທວາຍ","ທວຍ","3"
"ປູກ___ຈິດສຳນຶກ","ຝັງ","ຟັງ","1"
"ໃບຊີວະ___","ປະຫວັດ","ປະວັດ","1"
"ເປັນລະບຽບ___","ຮຽບຮ້ອຍ","ລຽບລ້ອຍ","2"
"ນ້ອງຊາຍຂອງແມ່ ເອີ້ນວ່າ___","ນ້າບ່າວ","ໜ້າບ່າວ","1"
"ນ້ອງສາວຂອງແມ່ ເອີ້ນວ່າ___","ນ້າສາວ","ໜ້າສາວ","1"
"___ກະເປົາເກີນກຳນົດ","ນ້ຳໜັກ","ນ້ຳນັກ","1"
"___ຊັ້ນປະຖົມ","ນັກຮຽນ","ໜັກຮຽນ","1"
"ວັດທາດ___","ຝຸ່ນ","ຟຸ່ນ","1"
"ທາງດິນແດງ ມີແຕ່___","ຂີ້ຝຸ່ນ","ຂີ້ຟຸ່ນ","1"
"ຜັດໄກ່ໃສ່___","ຂີງ","ຂິງ","2"
"ແກງ___ປວກ","ເຫັດ","ເຮັດ","1"
"ວຽກບໍ່___ ມີແຕ່ຈົ່ມ","ເຮັດ","ເຫັດ","1"
"___ຜູກແຂນ","ຝ້າຍ","ຟ້າຍ","2"
"ຢູ່ຄົນດຽວ ແຕ່ບໍ່___","ໂດດດ່ຽວ","ໂດດດຽວ","2"
"ລາວມັກຢູ່ຄົນ___","ດຽວ","ດ່ຽວ","2"
"ນັກສຶກສາເຮັດບົດ___","ຄົ້ນຄວ້າ","ຄົ້ນຄ້ວາ","3"
"ແລ້ວພົບກັນ___ ດາວອັງຄານ","ທີ່","ທີ","3"
"ຄວນ___ໃຫ້ພຽງພໍ","ພັກຜ່ອນ","ຜັກພ່ອນ","2"
"___ສຸຂະພາບປະຈຳປີ","ກວດ","ຕວດ","2"
"___ຂ້ອຍບໍ່ມີເງິນ","ປັດຈຸບັນ","ປະຈຸບັນ","2"
"ມື້ນີ້ວັນ___ເທົ່າໃດ?","ທີ","ທີ່","3"
"ໝູ່ຂ້ອຍເບິ່ງຄົນຢູ່ທີ່ _____","ນິດໄສ","ນິໄສ","3"
"ອາການເຈັບຂາ ___ ກວ່າເກົ່າ","ເຮັ່ງຮ້າຍ","ແຍ່ລົງ","3"
"ຊິໄປລະຫວາ? ___ ເດີ້","ໂຊກດີ","ໂຊກດີຍ","1"
"ຂ້ອຍຕອບແບບບໍ່ຕ້ອງຄິດ___ເລີຍ","ດົນ","ຍາວ","1"
"ເບິ່ງຢູ່ໜ້າຮ້ານໄດ້___","ເດີ້","ນ້າ","2"
"ເສື້ອໂຕນີ້ລາຄາ ___","ແພງ","ແຜງ","1"
"ແຂວງຄຳ___","ມ່ວນ","ໂມ່ນ","1"
"ອ້າຍໄຊມັກ___ເກມ","ຫຼິ້ນ","ເລ່ນ","2"
"ຫຼຸດຜ່ອນການໃຊ້ຈອກ_______","ປລາສຕິກ","ພລາສຕິກ","3"
"ຖ້າ _____ໃຫ້ຮີບຖາມ","ສົງໄສ","ສົງໃສ","2"
"ຢາກໄປເມືອງ _____","ຊຽງໄຮ້","ຊຽງໄຮ","3"
"ຢາກໄດ້ແຟນເປັນຄົນ _____","ໄຕ້ຫວັນ","ໃຕ້ຫວັນ","2"
"ແມ່ຕູ້ຂ້ອຍເປັນຄົນ _____","ທັນສະໄໝ","ທັນສະໃໝ","2"
"ປະເທດ _____","ບຣູໄນ","ບລູໄນ","3"
"ທ່ານປະທານໄດ້ກ່າວ_____","ປາໄສ","ປາໃສ","1"
"ອິນເຕີເນັດຄື _____ທີ 5 ຂອງຊີວິດ","ປັດໄຈ","ປັດໃຈ","2"
"ເປັນ _____ອັກເສບ","ລຳໄສ້","ລຳໃສ້","3"
"ກຳລັງ_____ຫາທາງລວຍ","ວິໄຈ","ວິໃຈ","3"
"ຫົວໜ້າມີ _____ທີ່ສະຫຼາດສ່ອງໃສ","ວິໄສທັດ","ວິໃສທັດ","3"
"ໂບ້ມີ_____ດີຫຼາຍ","ວິໄນ","ວິໃນ","3"
"ພົບປະກັບໝູ່ຄູ່ທີ່ _____","ໃກ້ຊິດ","ໃກ້ສິດ","2"
"ສົນໃຈມາເບິ່ງ _____ ຢູ່ຫ້ອງຂ້ອຍບໍ່","ໃຍແມງມຸມ","ໄຍແມງມຸມ","2"
"ຄວາມ​ _____ ສູງສຸດ","ໃຝ່ຝັນ","ໄຝ່ຝັນ","2"
"ຢາກເປັນ​ _____ຂອງແມ່ເຈົ້າ","ລູກໃພ້","ລູກໄພ້","1"
"ສິ່ງດຽວທີ່ _____ ຕະຫຼອດຄືນ້ຳໜັກ","ຂຶ້ນ","ຂື້ນ","1"
"ເຮົາສາມາດ _____ກິນໄດ້ເລື້ອຍໆ","ສືບຕໍ່","ຊືບຕໍ່","1"
"ກິນຜັກ ແລະ ໝາກໄມ້ເພື່ອ ​_____","ສຸຂະພາບ","ສຸກຂະພາບ","1"
"ກາງຄືນເປັນ ___ ກາງເວັນເປັນນົກເຄົ້າ","ເຫງັນ","ເງັນ","2"
"ອາຫານຈານນີ້ເປັນຕາ _____","ແຊບ","ອະຣ່ອຍ","1"
"ເຂົາບໍ່ຕອບຍ້ອນສັນຍານອິນເຕີເນັດ ___","ຂັດຂ້ອງ","ຄັດຂ້ອງ","2"
"ຕຳຫຼວດ _____","ຈະລາຈອນ","ຈາລະຈອນ","3"
"ຄວນມີ ___ ທີ່ຊັດເຈນ","ຈຸດມຸ່ງໝາຍ","ຈຸດມຸ້ງໝາຍ","2"
"ປະສົບຜົນ ___","ສຳເລັດ","ສຳເຫຼັດ","2"
"ກິດຈະກຳທາງ ____","ສາສະໜາ","ສາດສະໜາ","3"
"ຄວາມສຳພັນແບບ ___","ສະຫຼັບຊັບຊ້ອນ","ສະລັບຊັບຊ້ອນ","3"
"ເຖົ້າແກ່ ____","ຊະລາ","ຊາລາ","2"
"ສະມາຄົມ ______ ນັກທຸລະກິດ","ເຄືອຂ່າຍ","ເຄື່ອຄ່າຍ","3"
"ຄະນະສະແດງ _____","ສິລະປະ","ສິນລະປະ","3"
"ຫຼັກ ____ ພາສາລາວ","ໄວຍາກອນ","ໄວຍະກອນ","3"
"ບອກເຕືອນດ້ວຍຄວາມ ____","ຫ່ວງໃຍ","ຫ່ວງໄຍ","3"
"ຊົ່ວໂມງຮຽນວິຊາ ____","ພະລະສຶກສາ","ພາລະສຶກສາ","2"
"ງານ____ກິລາ","ມະຫະກຳ","ມະຫາກຳ","2"
"ກຽມຈອງ ___ ເພື່ອສະຫຼອງ","ພັດຕາຄານ","ພັດຕະຄານ","3"
"ຜົນກະທົບຈາກ ____","ພາຍຸໄຕ້ຝຸ່ນ","ພາຍຸໃຕ້ຝຸ່ນ","2"
"ສວນ ____","ອະນຸສາວະລີ","ອານຸສາວະລີ","2"
"ເຈົ້າໜ້າຕາຄືແຟນຂ້ອຍໃນ ____","ອະນາຄົົດ","ອານະຄົດ","2"
"ໂຮງງານ ______","ອຸດສາຫະກຳ","ອຸດສະຫະກຳ","3"
"ເກືອບ ___ ຍ້ອນກິນໂລເລ","ດັບແນວ","ຕຸຍເຍ","2"
"ຮຽນຮູ້ການ ___ ອາລົມ","ລະງັບ","ລະຫງັບ","3"
"ຄັ້ງ ___ ທີ່ໄປຫຼິ້ນ","ຫຼ້າສຸດ","ລ່າສຸດ","3"
"ນາຍພານ____","ລ່າສັດ","ລ້າສັດ","2"
"ຊື້ເລກຫວັງ ____","ລວຍ","ຣວຍ","2"
"ໝໍ້ເຂົ້າ ___","ຂວໍ້າ","ຂວັ້ມ","2"
"ພິທີ ____ ບັນພະບຸລຸດ","ໄຫວ້","ໄຫ້ວ","2"
"ພິທີ ____","ໄວ້ອາໄລ","ໄຫວ້ອາໄລ","3"
"ສົງໄສຈະເປັນ ___","ໄຂ້ຫວັດ","ໄຂ້ວັດ","2"
"ອີກໜ້ອຍດຽວກໍ ___ ແລ້ວ","ຫວິດ","ວິດ","3"
"ພໍ່ໄປ ____","ຫວ່ານແຫ","ວ່ານແຫ","3"
"ຂະບວນ ___ ເຂີຍ","ແຫ່","ແຮ່","2"
"ການຈັດການ ____","ຂີ້ເຫຍື້ອ","ຂີ້ເຫຍື່ອ","2"
"ສະຫຼຸບ ___ ໃຫ້ແລ້ວ","ຫຍໍ້","ຢໍ້","2"
"ທ້າຍທີ່ສຸດແລ້ວ","ເສືອໄດ້ກາຍເປັນ ___","ເຫຍື່ອ","ເຍື່ອ"
"ເຂົາເວົ້າພື້ນໃຜບໍ່ຮູ້ ____ ຫູຟັງກ່ອນ","ຫງ່ຽງ","ງ່ຽງ","1"
"ຂຶ້ນທະບຽນ _____","ວິສາຫະກິດ","ວິສະຫະກິດ","3"
"ເຫດການສຸດ ___","ວິໄສ","ວິໃສ","3"
"ຮຽນຕໍ່ລະດັບ ____","ວິທະຍາໄລ","ວິດທະຍາໄລ","2"
"ຜ່ານການ ___","ວິນິດໄສ","ວິນິດໃສ","2"
"ກຳລັງ___","ວັງຊາ","ວັງສາ","1"
"ເກີດເຫດການ ____","ຄາຕະກຳ","ຄາດຕະກຳ","2"
"ລາວນັ່ງ ____","ຄູ້ເຂົ່າ","ຄຸກເຂົ່າ","3"
"ອາການເຈັບທ້ອງຖືວ່າ___ແລ້ວ","ໄຄແດ່","ໃຄແດ່","2"
"ປະຕິບັດຕາມລະບຽບຢ່າງ ___","ເຄັ່ງຄັດ","ເຂັ່ງຂັດ","1"
