context,correct,wrong,difficulty,order
"ນໍ້າເຕົາຮູ້ເຮັດມາຈາກ___","ຖົ່ວເຫຼືອງ","ທົ່ວເຫຼືອງ","2",23
"ຫົວໜ້າເວົ້າໄປ___ແລ້ວ","ທົ່ວທີບ","ຖົ່ວທີບ","2",24
"ຄວນ___ການໃຊ້ຄຳຫຍາບ","ຫຼີກລ່ຽງ","ຫຼີກລ້ຽງ","3",25
"ແມ່ເຖົ້າ___ຫຼານຢູ່ເຮືອນ","ລ້ຽງ","ລ່ຽງ","1",26
"ຊີ້ນ___ໂພດ","ຫຍາບ","ຢາບ","1",27
"ຂອງກິນບໍ່ກິນມັນ___","ເນົ່າ","ເໜົ່າ","3",28
"ຂອງເກົ່າບໍ່___ມັນລືມ","ເລົ່າ","ເຫຼົ່າ","1",29
"ຄວາຍສີຂາວໝົດໂຕ ແມ່ນຄວາຍ___","ດ່ອນ","ເຜືອກ","3",30
"ຊ້າງສີຂາວໝົດໂຕ ແມ່ນຊ້າງ___","ເຜືອກ","ດ່ອນ","3",31
"ການ___ມີຄວາມສ່ຽງ","ລົງທຶນ","ລົງທຸນ","3",32
"ມາເດີ້! ກິນຕຳ___ ປີ້ງໄກ່","ໝາກຫຸ່ງ","ໝາກຮຸ່ງ","2",33
"ຕຳໝາກຫຸ່ງຮ້ານນີ້ນົວ___","ໂພດ","ມາກແມ່","1",34
"ຈະເລີນ___","ຮຸ່ງເຮືອງ","ຫຸ່ງເຮືອງ","2",35
"ຮ້ານອາຫານນີ້ ແມ່ນຮ້ານ___","ທີ່ມີຊື່ສຽງ","ເຈົ້າດັງ","2",36
"ມື້___ຂອງການເປີດສົກຮຽນ","ທຳອິດ","ແລກ","3",37
"ຫາກໍເຄີຍມາຮ້ານນີ້___","ຄັ້ງທຳອິດ","ຄັ້ງແລກ","3",38
"___ມວນຊົນ","ສື່","ຊື່","1",39
"___ດີ___ເດັ່ນ","ຊີງ","ຊິງ","3",40
"___ຊັ່ງນໍ້າໜັກ","ຊິງ","ຊີງ","3",41
"___ອາຫານແດ່ເດີ້","ສັ່ງ","ຊັ່ງ","2",42
"___ອຸດົມໄຊ","ແຂວງ","ແຂງ","1",43
"ເສຍຄ່າ___","ປັບໃໝ","ປັບໄໝ","2",44
"_____ ໄດ້ເຫັນໜ້າ ກໍດີໃຈແລ້ວ","ພຽງແຕ່","ພຽງແຄ່","1",45
"ຄູມີໜ້າທີ່___ຄວາມຮູ້","ຖ່າຍທອດ","ສົ່ງທອດ","3",46
"___ຂາໄກ່ຄູວຽງ","ຈືນ","ທອດ","3",47
"ຄິດຮອດແຟນໃນ _____","ອະນາຄົດ","ອານາຄົດ","3",48
"ບໍ່ມີໃຜສາມາດກັບໄປແກ້ໄຂ___ໄດ້","ອະດີດ","ອາດີດ","2",49
"ຄວນຂັບຂີ່___ລະມັດລະວັງ","ຢ່າງ","ຍ່າງ","1",50
"___ຂອງການອອກແບບ","ຫຼັກການ","ລັກການ","1",51
"ຄວາມຈຳ___","ເສື່ອມ","ເຊື່ອມ","3",52
"___ ອິນເຕີເນັດບໍ່ໄດ້","ເຊື່ອມຕໍ່","ເສື່ອມຕໍ່","1",53
"ມັກ___ຈົນເປັນນິດໄສ","ຂີ້ຕົວະ","ຂີ້ຕວັະ","3",54
"___ ຖົງຢາງໃຫ້ແໜ້ນ","ມັດ","ໝັດ","2",55
"ສອບຖາມຂໍ້ມູນ___ໄດ້ທີ່","ເພີ່ມເຕີມ","ເພີ້ມເຕີມ","1",56
"ສອບຖາມຂໍ້ມູນ___ໄດ້ທີ່","ເພີ່ມຕື່ມ","ເພີ້ມຕື່ມ","1",57
"___ນໍ້າມັນ","ປະຢັດ","ປະຫຍັດ","3",58
"ເງິນໃບຫ້າ___ກີບ","ຮ້ອຍ","ລ້ອຍ","2",59
"___ກຳມະການ","ຄະນະ","ຂະນະ","3",60
"___ທີ່ກຳລັງກິນເຂົ້າຢູ່","ໃນຂະນະ","ໃນຄະນະ","3",61
"ລາວເປັນຄົນຕະຫຼົກ ລາວມັກ___","ເວົ້າຢອກ","ເວົ້າແຊວ","3",62
"ທີ່ຢູ່___","ອາໄສ","ອາໃສ","1",63
"ໄລຍະທາງບໍ່ເຄີຍເປັນ ___","ອຸປະສັກ","ອຸບປະສັກ","1",64
"ອະທິບາຍ___","ສັບ","ຊັບ","2",65
"___ໃນພາສາລາວມີຈັກສຽງ?","ວັນນະຍຸດ","ວັນນະຢຸດ","2",66
"ຢາກໄປຍ່າງເລາະ___ມືດ","ຕະຫຼາດ","ຕະລາດ","1",67
"___ຊິໄປກິນເຂົ້າຢູ່ໃສ?","ຕອນສວາຍ","ຕອນສວຍ","2",68
"___ສ້າງສັນ","ຄວາມຄິດ","ຄວາມຄຶດ","2",69
"ຕ້ອງກຽມ___ສຳລັບໃຊ້ລະບາຍສີ","ອຸປະກອນ","ອຸບປະກອນ","1",70
"___ເຮືອນໃຫ້ສະອາດ","ອະນາໄມ","ອານາໄມ","3",71
"ທຸກຄົນເຫັນດີເປັນ ___","ເອກະພາບ","ເອກກະພາບ","2",72
"ຝາກເຊັນ___ໃຫ້ແດ່ເດີ້","ເອກະສານ","ເອກກະສານ","2",73
"ບໍລິສັດ___","ເອກະຊົນ","ເອກກະຊົນ","2",74
"ຄວນ___ເຖິງສິ່ງທີ່ຈະຕາມມາ","ຄຳນຶງ","ຕະໜັກ","3",75
"ກິນອາຫານໃຫ້ຄົບ___","ໝູ່","ໜູ່","1",76
"ລາວເປັນຄົນ ___ ດີ","ຈິດໃຈ","ຈິດໄຈ","1",77
"ແມງສາບມັກ___ຢູ່ບ່ອນທີ່ມືດ","ອາໄສ","ອາໃສ","1",78
"ນ້ຳ___ແມ່ນນ້ຳທີ່ບໍ່ຂຸ່ນ","ໃສ","ໄສ","1",79
"ນ້ຳ___ແມ່ນນ້ຳທີ່ບໍ່ໃສ","ຂຸ່ນ","ຄຸ່ນ","1",80
"ລາວບໍ່ສະບາຍ ຍ້ອນອາຫານ___","ເປັນພິດ","ເປັນຜິດ","1",81
"ລາວພິມ___ຫຼາຍໂຕໂພດ","ຜິດ","ພິດ","1",82
"ລາວໄປ___ສະຖານທີ່","ກະກຽມ","ກະຕຽມ","3",83
"ຜັກຕຳນິນມີ___ຕໍ່ຮ່າງກາຍ","ປະໂຫຍດ","ປະໂຢດ","2",84
"ຈົ່ງແຕ່ງ___ດ້ວຍຄຳວ່າ 'ນອນ'","ປະໂຫຍກ","ປະໂຍກ","1",85
"ເກມນີ້ມີ___ຜົນປະໂຫຍດສ່ວນລວມ","ເພື່ອ","ເຜື່ອ","1",86
"ເສື້ອໂຕນີ້___","ງາມຫຼາຍ","ສວຍມາກ","3",87
"ຍາມຮ້ອນ___ອອກຫຼາຍ","ເຫື່ອ","ເຮື່ອ","1",88
"ເປົ້າໝາຍຫຼຸດຜ່ອນຄວາມ___","ທຸກຍາກ","ຖຸກຢາກ","1",89
"ຮູບເງົາ___ນີ້ຕະຫຼົກກວ່າທີ່ຄິດ","ເລື່ອງ","ເລື້ອງ","3",90
"___ເລກບໍ່ຖືກ","ລົບ","ຫຼົບ","1",91
"ຜູ້ປ່ວຍ___ຈາກການປິ່ນປົວ","ຫຼົບໜີ","ລົບໜີ","2",92
"ຫ້ອງນີ້ ___","ວ່າງເປົ່າ","ຫວ່າງເປົ່າ","3",93
"ສັນຍາການຄ້າ ___ ປະເທດ","ລະຫວ່າງ","ລະວ່າງ","1",94
"___ບໍ່? ຊິໂທຫາ ມີແນວຊິຈົ່ມສູ່ຟັງ","ວ່າງ","ຫວ່າງ","3",95
"ບໍ່ຢາກເປັນຄົນ___ ງານ","ວ່າງ","ຫວ່າງ","3",96
"ປີນີ້ມີຄົນ___ຮຽນຫຼາຍ","ສະໝັກ","ສະມັກ","1",97
"___ນ້ຳລາຍຕົນເອງ","ສະມັກ","ສະໝັກ","1",98
"ຢ່າລືມ___ນ້ຳຕົ້ນໄມ້","ຫົດ","ຮົດ","1",99
"ຂ້ອຍຝັນຢາກເປັນ___","ລັດຖະມົນຕີ","ລັດທະມົນຕີ","1",100
"___ຮ່ວມສະໄໝ","ວັດທະນະທຳ","ວັດທະນາທຳ","3",101
"ເນື້ອຄູ່ຈະມາໃນເວລາທີ່___","ເໝາະສົມ","ເມາະສົມ","3",102
"ຄົນລາວເປັນຄົນ___","ຈິງໃຈ","ຈຣິງໃຈ","1",103
"___ຂອງເງິນ","ຄຸນຄ່າ","ຄຸນຂ່າ","1",104
"ວິທີປູກ___","ຂ່າ","ຄ່າ","1",105
"ເປັນການ___ທີ່ດີ","ເລີ່ມຕົ້ນ","ເລີ້ມຕົ້ນ","3",106
"ໝາກມ່ວງ___","ເຫີ່ມ","ເຮີ່ມ","1",107
"ສັດມີການ___ຕາມລະດູ","ປະສົມພັນ","ຜະສົມພັນ","2",108
"ວິຊາຂຽນ___","ທວາຍ","ທວຍ","3",109
"ເກມ___ຄຳສັບ","ທວາຍ","ທວຍ","3",110
"ປູກ___ຈິດສຳນຶກ","ຝັງ","ຟັງ","1",111
"ໃບຊີວະ___","ປະຫວັດ","ປະວັດ","1",112
"ເປັນລະບຽບ___","ຮຽບຮ້ອຍ","ລຽບລ້ອຍ","2",113
"ນ້ອງຊາຍຂອງແມ່ ເອີ້ນວ່າ___","ນ້າບ່າວ","ໜ້າບ່າວ","1",114
"ນ້ອງສາວຂອງແມ່ ເອີ້ນວ່າ___","ນ້າສາວ","ໜ້າສາວ","1",115
"___ກະເປົາເກີນກຳນົດ","ນ້ຳໜັກ","ນ້ຳນັກ","1",116
"___ຊັ້ນປະຖົມ","ນັກຮຽນ","ໜັກຮຽນ","1",117
"ວັດທາດ___","ຝຸ່ນ","ຟຸ່ນ","1",118
"ທາງດິນແດງ ມີແຕ່___","ຂີ້ຝຸ່ນ","ຂີ້ຟຸ່ນ","1",119
"ຜັດໄກ່ໃສ່___","ຂີງ","ຂິງ","2",120
"ແກງ___ປວກ","ເຫັດ","ເຮັດ","1",121
"ວຽກບໍ່___ ມີແຕ່ຈົ່ມ","ເຮັດ","ເຫັດ","1",122
"___ຜູກແຂນ","ຝ້າຍ","ຟ້າຍ","2",123
"ຢູ່ຄົນດຽວ ແຕ່ບໍ່___","ໂດດດ່ຽວ","ໂດດດຽວ","2",124
"ລາວມັກຢູ່ຄົນ___","ດຽວ","ດ່ຽວ","2",125
"ນັກສຶກສາເຮັດບົດ___","ຄົ້ນຄວ້າ","ຄົ້ນຄ້ວາ","3",126
"ແລ້ວພົບກັນ___ ດາວອັງຄານ","ທີ່","ທີ","3",127
"ຄວນ___ໃຫ້ພຽງພໍ","ພັກຜ່ອນ","ຜັກພ່ອນ","2",128
"___ສຸຂະພາບປະຈຳປີ","ກວດ","ຕວດ","2",129
"___ຂ້ອຍບໍ່ມີເງິນ","ປັດຈຸບັນ","ປະຈຸບັນ","2",130
"ມື້ນີ້ວັນ___ເທົ່າໃດ?","ທີ","ທີ່","3",131
"ໝູ່ຂ້ອຍເບິ່ງຄົນຢູ່ທີ່ _____","ນິດໄສ","ນິໄສ","3",132
"ອາການເຈັບຂາ ___ ກວ່າເກົ່າ","ເຮັ່ງຮ້າຍ","ແຍ່ລົງ","3",133
"ຊິໄປລະຫວາ? ___ ເດີ້","ໂຊກດີ","ໂຊກດີຍ","1",134
"ຂ້ອຍຕອບແບບບໍ່ຕ້ອງຄິດ___ເລີຍ","ດົນ","ຍາວ","1",135
"ເບິ່ງຢູ່ໜ້າຮ້ານໄດ້___","ເດີ້","ນ້າ","2",136
"ເສື້ອໂຕນີ້ລາຄາ ___","ແພງ","ແຜງ","1",137
"ແຂວງຄຳ___","ມ່ວນ","ໂມ່ນ","1",138
"ອ້າຍໄຊມັກ___ເກມ","ຫຼິ້ນ","ເລ່ນ","2",139
"ຫຼຸດຜ່ອນການໃຊ້ຈອກ_______","ປລາສຕິກ","ພລາສຕິກ","3",140
"ຖ້າ _____ໃຫ້ຮີບຖາມ","ສົງໄສ","ສົງໃສ","2",141
"ຢາກໄປເມືອງ _____","ຊຽງໄຮ້","ຊຽງໄຮ","3",142
"ຢາກໄດ້ແຟນເປັນຄົນ _____","ໄຕ້ຫວັນ","ໃຕ້ຫວັນ","2",143
"ແມ່ຕູ້ຂ້ອຍເປັນຄົນ _____","ທັນສະໄໝ","ທັນສະໃໝ","2",144
"ປະເທດ _____","ບຣູໄນ","ບລູໄນ","3",145
"ທ່ານປະທານໄດ້ກ່າວ_____","ປາໄສ","ປາໃສ","1",146
"ອິນເຕີເນັດຄື _____ທີ 5 ຂອງຊີວິດ","ປັດໄຈ","ປັດໃຈ","2",147
"ເປັນ _____ອັກເສບ","ລຳໄສ້","ລຳໃສ້","3",148
"ກຳລັງ_____ຫາທາງລວຍ","ວິໄຈ","ວິໃຈ","3",149
"ຫົວໜ້າມີ _____ທີ່ສະຫຼາດສ່ອງໃສ","ວິໄສທັດ","ວິໃສທັດ","3",150
"ໂບ້ມີ_____ດີຫຼາຍ","ວິໄນ","ວິໃນ","3",151
"ພົບປະກັບໝູ່ຄູ່ທີ່ _____","ໃກ້ຊິດ","ໃກ້ສິດ","2",152
"ສົນໃຈມາເບິ່ງ _____ ຢູ່ຫ້ອງຂ້ອຍບໍ່","ໃຍແມງມຸມ","ໄຍແມງມຸມ","2",153
"ຄວາມ​ _____ ສູງສຸດ","ໃຝ່ຝັນ","ໄຝ່ຝັນ","2",154
"ຢາກເປັນ​ _____ຂອງແມ່ເຈົ້າ","ລູກໃພ້","ລູກໄພ້","1",155
"ສິ່ງດຽວທີ່ _____ ຕະຫຼອດຄືນ້ຳໜັກ","ຂຶ້ນ","ຂື້ນ","1",156
"ເຮົາສາມາດ _____ກິນໄດ້ເລື້ອຍໆ","ສືບຕໍ່","ຊືບຕໍ່","1",157
"ກິນຜັກ ແລະ ໝາກໄມ້ເພື່ອ ​_____","ສຸຂະພາບ","ສຸກຂະພາບ","1",158
"ກາງຄືນເປັນ ___ ກາງເວັນເປັນນົກເຄົ້າ","ເຫງັນ","ເງັນ","2",159
"ອາຫານຈານນີ້ເປັນຕາ _____","ແຊບ","ອະຣ່ອຍ","1",160
"ເຂົາບໍ່ຕອບຍ້ອນສັນຍານອິນເຕີເນັດ ___","ຂັດຂ້ອງ","ຄັດຂ້ອງ","2",161
"ຕຳຫຼວດ _____","ຈະລາຈອນ","ຈາລະຈອນ","3",162
"ຄວນມີ ___ ທີ່ຊັດເຈນ","ຈຸດມຸ່ງໝາຍ","ຈຸດມຸ້ງໝາຍ","2",163
"ປະສົບຜົນ ___","ສຳເລັດ","ສຳເຫຼັດ","2",164
"ກິດຈະກຳທາງ ____","ສາສະໜາ","ສາດສະໜາ","3",165
"ຄວາມສຳພັນແບບ ___","ສະຫຼັບຊັບຊ້ອນ","ສະລັບຊັບຊ້ອນ","3",166
"ເຖົ້າແກ່ ____","ຊະລາ","ຊາລາ","2",167
"ສະມາຄົມ ______ ນັກທຸລະກິດ","ເຄືອຂ່າຍ","ເຄື່ອຄ່າຍ","3",168
"ຄະນະສະແດງ _____","ສິລະປະ","ສິນລະປະ","3",169
"ຫຼັກ ____ ພາສາລາວ","ໄວຍາກອນ","ໄວຍະກອນ","3",170
"ບອກເຕືອນດ້ວຍຄວາມ ____","ຫ່ວງໃຍ","ຫ່ວງໄຍ","3",171
"ຊົ່ວໂມງຮຽນວິຊາ ____","ພະລະສຶກສາ","ພາລະສຶກສາ","2",172
"ງານ____ກິລາ","ມະຫະກຳ","ມະຫາກຳ","2",173
"ກຽມຈອງ ___ ເພື່ອສະຫຼອງ","ພັດຕາຄານ","ພັດຕະຄານ","3",174
"ຜົນກະທົບຈາກ ____","ພາຍຸໄຕ້ຝຸ່ນ","ພາຍຸໃຕ້ຝຸ່ນ","2",175
"ສວນ ____","ອະນຸສາວະລີ","ອານຸສາວະລີ","2",176
"ເຈົ້າໜ້າຕາຄືແຟນຂ້ອຍໃນ ____","ອະນາຄົົດ","ອານະຄົດ","2",177
"ໂຮງງານ ______","ອຸດສາຫະກຳ","ອຸດສະຫະກຳ","3",178
"ເກືອບ ___ ຍ້ອນກິນໂລເລ","ດັບແນວ","ຕຸຍເຍ","2",179
"ຮຽນຮູ້ການ ___ ອາລົມ","ລະງັບ","ລະຫງັບ","3",180
"ຄັ້ງ ___ ທີ່ໄປຫຼິ້ນ","ຫຼ້າສຸດ","ລ່າສຸດ","3",181
"ນາຍພານ____","ລ່າສັດ","ລ້າສັດ","2",182
"ຊື້ເລກຫວັງ ____","ລວຍ","ຣວຍ","2",183
"ໝໍ້ເຂົ້າ ___","ຂວໍ້າ","ຂວັ້ມ","2",184
"ພິທີ ____ ບັນພະບຸລຸດ","ໄຫວ້","ໄຫ້ວ","2",185
"ພິທີ ____","ໄວ້ອາໄລ","ໄຫວ້ອາໄລ","3",186
"ສົງໄສຈະເປັນ ___","ໄຂ້ຫວັດ","ໄຂ້ວັດ","2",187
"ອີກໜ້ອຍດຽວກໍ ___ ແລ້ວ","ຫວິດ","ວິດ","3",188
"ພໍ່ໄປ ____","ຫວ່ານແຫ","ວ່ານແຫ","3",189
"ຂະບວນ ___ ເຂີຍ","ແຫ່","ແຮ່","2",190
"ການຈັດການ ____","ຂີ້ເຫຍື້ອ","ຂີ້ເຫຍື່ອ","2",191
"ສະຫຼຸບ ___ ໃຫ້ແລ້ວ","ຫຍໍ້","ຢໍ້","2",192
"ທ້າຍທີ່ສຸດແລ້ວ","ເສືອໄດ້ກາຍເປັນ ___","ເຫຍື່ອ","ເຍື່ອ",193
"ເຂົາເວົ້າພື້ນໃຜບໍ່ຮູ້ ____ ຫູຟັງກ່ອນ","ຫງ່ຽງ","ງ່ຽງ","1",194
"ຂຶ້ນທະບຽນ _____","ວິສາຫະກິດ","ວິສະຫະກິດ","3",195
"ເຫດການສຸດ ___","ວິໄສ","ວິໃສ","3",196
"ຮຽນຕໍ່ລະດັບ ____","ວິທະຍາໄລ","ວິດທະຍາໄລ","2",197
"ຜ່ານການ ___","ວິນິດໄສ","ວິນິດໃສ","2",198
"ກຳລັງ___","ວັງຊາ","ວັງສາ","1",199
"ເກີດເຫດການ ____","ຄາຕະກຳ","ຄາດຕະກຳ","2",200
"ລາວນັ່ງ ____","ຄູ້ເຂົ່າ","ຄຸກເຂົ່າ","3",201
"ອາການເຈັບທ້ອງຖືວ່າ___ແລ້ວ","ໄຄແດ່","ໃຄແດ່","2",202
"ປະຕິບັດຕາມລະບຽບຢ່າງ ___","ເຄັ່ງຄັດ","ເຂັ່ງຂັດ","1",203
